Symbol,Period Ended,Quarter,Total Income,Total Expenses,Net Profit Loss from the Period,EPS,Price to earnings ratio,Number of shares,Market Cap,Price to sales ratio,Earnings Growth,PROJECTED EARNINGS GROWTH (PEG),Share Price,Share price change,Classification
ADANIPORTS,30-Sep-12,Second Quarter,105026,54227,27556,1.38,88.9,2070051620,2.53959E+11,2418060.81,0,NA,122.68,5.89,Bad
ADANIPORTS,31-Dec-12,Third Quarter,134990,63994,36109,1.8,72.17,2003394100,2.60239E+11,1927841.03,30.43,2.37,129.9,5.88,Bad
ADANIPORTS,31-Mar-13,Fourth Quarter,103551,50802,71031,3.55,37.59,2003394100,2.67372E+11,2582029.21,97.22,0.39,133.46,2.74,Bad
ADANIPORTS,30-Jun-13,First Quarter,147841,77336,41750,2.07,69.87,2070051620,2.99373E+11,2024966.89,-41.69,-1.68,144.62,8.36,Bad
ADANIPORTS,30-Sep-13,Second Quarter,114988,57673,34183,1.65,81.09,2070051620,2.76959E+11,2408592.25,-20.29,-4,133.79,-7.49,Bad
ADANIPORTS,31-Dec-13,Third Quarter,107984,61474,45051,2.18,69.09,2070051620,3.11767E+11,2887160.67,32.12,2.15,150.61,12.57,Good
ADANIPORTS,31-Mar-14,Fourth Quarter,111586,58829,52980,2.56,70.96,2070051620,3.76067E+11,3370195.66,17.43,4.07,181.67,20.62,Good
ADANIPORTS,30-Jun-14,First Quarter,126164,61585,56800,2.74,89.84,2070051620,5.09581E+11,4039035.26,7.03,12.78,246.17,35.5,Good
ADANIPORTS,30-Sep-14,Second Quarter,165512,83703,57352,2.77,97.48,2070051620,5.58947E+11,3377081.31,1.09,89.03,270.02,9.69,Bad
ADANIPORTS,31-Dec-14,Third Quarter,154633,86651,51208,2.47,125.66,2070051620,6.42523E+11,4155145.78,-10.83,-11.6,310.39,14.95,Good
ADANIPORTS,31-Mar-15,Fourth Quarter,168119,83291,66073,3.19,93.99,2070051620,6.20672E+11,3691863.09,29.15,3.22,299.83,-3.4,Bad
ADANIPORTS,30-Jun-15,First Quarter,171478,85081,63893,3.09,97.25,2070051620,6.22032E+11,3627474.82,-3.13,-31.02,300.49,0.22,Bad
ADANIPORTS,30-Sep-15,Second Quarter,180814,89819,67764,3.27,89.24,2070051620,6.04052E+11,3340737.05,5.83,15.32,291.81,-2.89,Bad
ADANIPORTS,31-Dec-15,Third Quarter,169603,91938,67532,3.26,78.1,2070051620,5.27081E+11,3107732.57,-0.31,-255.4,254.62,-12.74,Bad
ADANIPORTS,31-Mar-16,Fourth Quarter,194720,97788,91406,4.41,54.82,2070051620,5.00414E+11,2569913.86,35.28,1.55,241.74,-5.06,Bad
ADANIPORTS,30-Jun-16,First Quarter,182658,93780,83571,4.04,50.19,2070051620,4.1978E+11,2298177.35,-8.39,-5.98,202.79,-16.11,Bad
ADANIPORTS,30-Sep-16,Second Quarter,218305,101384,109081,5.26,47.85,2070051620,5.21047E+11,2386785.8,30.2,1.58,251.71,24.12,Good
ADANIPORTS,31-Dec-16,Third Quarter,223578,115935,84975,4.1,64.19,2070051620,5.44791E+11,2436694.32,-22.05,-2.91,263.18,4.56,Bad
ADANIPORTS,31-Mar-17,Fourth Quarter,223146,138154,116132,5.63,59.14,2070051620,6.89183E+11,3088483.67,37.32,1.58,332.93,26.5,Good
ADANIPORTS,30-Jun-17,First Quarter,274514,186743,70558,3.4,104.68,2070051620,7.36772E+11,2683914.04,-39.61,-2.64,355.92,6.91,Bad
ADANIPORTS,30-Sep-17,Second Quarter,270611,158419,99704,4.79,77.36,2070051620,7.67095E+11,2834676.42,40.88,1.89,370.57,4.12,Bad
ADANIPORTS,31-Dec-17,Third Quarter,268885,133086,100100,4.8,83.12,2070051620,8.25937E+11,3071712.42,0.21,398.16,398.99,7.67,Bad
ADANIPORTS,31-Mar-18,Fourth Quarter,348729,216210,92906,4.48,77.74,2070051620,7.20977E+11,2067442.69,-6.67,-11.66,348.29,-12.71,Bad
ADANIPORTS,30-Jun-18,First Quarter,270386,178146,69740,3.34,109.89,2070051620,7.59765E+11,2809926.05,-25.45,-4.32,367.03,5.38,Bad
ADANIPORTS,30-Sep-18,Second Quarter,292232,212277,61423,2.92,111.35,2070051620,6.73044E+11,2303114.4,-12.57,-8.85,325.13,-11.41,Bad
ADANIPORTS,31-Dec-18,Third Quarter,316888,134797,141893,6.8,56.36,2070051620,7.93369E+11,2503625.93,132.88,0.42,383.26,17.88,Good
ADANIPORTS,31-Mar-19,Fourth Quarter,216663,102398,67448,3.26,114.67,2070051620,7.73826E+11,3571566.59,-52.06,-2.2,373.82,-2.46,Bad
ADANIPORTS,30-Jun-19,First Quarter,321692,179634,102869,4.94,82.09,2070051620,8.39412E+11,2609364.88,51.53,1.59,405.5,8.48,Bad
ADANIPORTS,30-Sep-19,Second Quarter,332690,244056,105920,5.09,80.44,2070051620,8.47531E+11,2547510.6,3.04,26.49,409.43,0.97,Bad
ADANIPORTS,31-Dec-19,Third Quarter,383043,209140,135643,6.66,54.35,2070051620,7.49357E+11,1956326.83,30.84,1.76,362,-11.58,Bad
ASIANPAINT,30-Sep-07,Second Quarter,115962,96615,11386,11.87,3.58,95916977,4071992987,35114.89,38.99,0.09,42.453308,23.42,Good
ASIANPAINT,31-Dec-07,Third Quarter,119082,100707,11887,12.39,4.07,95914540,4840524455,40648.67,4.38,0.93,50.467056,18.88,Good
ASIANPAINT,31-Mar-08,Fourth Quarter,114640,99276,9452,9.85,5.59,95914540,5282292822,46077.22,-20.5,-0.27,55.07291,9.13,Bad
ASIANPAINT,30-Jun-08,First Quarter,125227,108520,10621,11.07,4.76,95927240,5059988098,40406.53,12.39,0.38,52.748188,-4.22,Bad
ASIANPAINT,30-Sep-08,Second Quarter,149321,128513,13147,13.71,4.33,95928885,5690933981,38112.08,23.85,0.18,59.324509,12.47,Good
ASIANPAINT,31-Dec-08,Third Quarter,133315,123192,5902,6.15,7.82,95013961,4569954996,34279.38,-55.14,-0.14,48.097721,-18.92,Bad
ASIANPAINT,31-Mar-09,Fourth Quarter,143628,126596,10114,10.54,4.01,95914252,4053450344,28221.87,71.38,0.06,42.261189,-12.13,Bad
ASIANPAINT,31-Mar-10,Fourth Quarter,189754,159008,19258,20.08,6.38,95919363,12288762458,64761.55,90.51,0.07,128.115555,203.15,Good
ASIANPAINT,30-Jun-10,First Quarter,184863,151001,22219,23.16,6.25,95924488,13874383215,75052.25,15.34,0.41,144.638596,12.9,Good
ASIANPAINT,30-Sep-10,Second Quarter,183569,150772,21470,22.38,8.11,95911344,17415442969,94871.37,-3.37,-2.41,181.578552,25.54,Good
ASIANPAINT,31-Dec-10,Third Quarter,211897,178333,22033,22.97,8.83,95911166,19448820851,91784.31,2.64,3.35,202.779526,11.68,Good
ASIANPAINT,31-Mar-11,Fourth Quarter,198559,170535,18602,19.39,9.18,95926872,17067384967,85956.24,-15.59,-0.59,177.920792,-12.26,Bad
ASIANPAINT,30-Jun-11,First Quarter,229090,189731,26366,27.49,8.16,95925668,21522147915,93946.26,41.77,0.2,224.362762,26.1,Good
ASIANPAINT,30-Sep-11,Second Quarter,228002,195787,20873,21.76,10.83,95923988,22614756368,99186.66,-20.84,-0.52,235.75705,5.08,Bad
ASIANPAINT,31-Dec-11,Third Quarter,258307,219385,25686,26.78,7.6,95918449,19509427128,75528.06,23.07,0.33,203.395981,-13.73,Bad
ASIANPAINT,31-Mar-12,Fourth Quarter,257834,219467,25948,27.05,9.4,95918449,24398550107,89269.3,1.01,9.33,254.367645,25.06,Good
ASIANPAINT,31-Mar-13,Fourth Quarter,273314,238898,25111,26.18,16.41,95918449,41218477242,145079.8,-3.22,-5.1,429.724182,68.94,Good
ASIANPAINT,30-Jun-13,First Quarter,284109,243633,27520,28.69,14.12,95918449,38865105998,124780.81,9.59,1.47,405.189056,-5.71,Bad
ASIANPAINT,30-Sep-13,Second Quarter,311467,266413,32684,3.41,127.66,95918449,41756224174,120965.21,-88.11,-1.45,435.330475,7.44,Bad
ASIANPAINT,31-Dec-13,Third Quarter,345192,297795,32935,3.43,135.7,95918449,44646147973,134999.68,0.59,231.37,465.459442,6.92,Bad
ASIANPAINT,31-Mar-14,Fourth Quarter,330713,288417,28742,3,173.5,95918449,49926243760,141232.87,-12.54,-13.84,520.507202,11.83,Good
ASIANPAINT,31-Mar-15,Fourth Quarter,353503,304301,34097,3.55,219.37,95918449,74699185540,201723.95,18.33,11.97,778.778076,49.62,Good
ASIANPAINT,30-Jun-15,First Quarter,370304,309077,46642,4.73,153.29,95918449,69547672847,181129.77,33.24,4.61,725.070862,-6.9,Bad
ASIANPAINT,30-Sep-15,Second Quarter,383966,329932,41887,4.21,192.99,95918449,77931977990,187335.13,-10.99,-17.55,812.481628,12.06,Good
ASIANPAINT,31-Dec-15,Third Quarter,416003,343195,46328,4.83,177.07,95918449,82034751544,202174.55,14.73,12.02,855.255188,5.26,Bad
ASIANPAINT,31-Mar-16,Fourth Quarter,405762,343236,43394,4.35,193.24,95918449,80628121294,182572.29,-9.94,-19.44,840.590332,-1.71,Bad
ASIANPAINT,31-Mar-17,Fourth Quarter,441623,379686,46902,4.82,217.27,95918449,1.00452E+11,237572.21,10.8,20.11,1047.261597,24.59,Good
ASIANPAINT,30-Jun-17,First Quarter,422826,366137,43172,4.46,241.25,95918449,1.03207E+11,241467.26,-7.47,-32.3,1075.991699,2.74,Bad
ASIANPAINT,30-Sep-17,Second Quarter,427418,357073,57844,6,184.33,95918449,1.06082E+11,248582.38,34.53,5.34,1105.963257,2.79,Bad
ASIANPAINT,31-Dec-17,Third Quarter,426749,347512,55069,5.78,196.31,95918449,1.08838E+11,240180.6,-3.67,-53.54,1134.696411,2.6,Bad
ASIANPAINT,31-Mar-18,Fourth Quarter,453152,375294,49591,5.01,219.04,95918449,1.05259E+11,207403.49,-13.32,-16.44,1097.379395,-3.29,Bad
ASIANPAINT,31-Mar-19,Fourth Quarter,507508,434064,48745,4.93,298.67,95918449,1.41236E+11,271389.9,-1.6,-187.04,1472.463989,34.18,Good
ASIANPAINT,30-Jun-19,First Quarter,520419,419376,67209,6.83,196.15,95918449,1.28506E+11,249243.76,38.54,5.09,1339.738037,-9.01,Bad
ASIANPAINT,30-Sep-19,Second Quarter,515582,431895,84214,8.58,203.69,95918449,1.67631E+11,305332.56,25.62,7.95,1747.640137,30.45,Good
ASIANPAINT,31-Dec-19,Third Quarter,549011,445204,77971,7.97,222.53,95918449,1.70114E+11,362608.93,-7.11,-31.3,1773.527344,1.48,Bad
ASIANPAINT,31-Mar-20,Fourth Quarter,469139,399613,48025,4.82,343.53,95918449,1.58825E+11,771231.77,-39.52,-8.69,1655.835327,-6.64,Bad
AXISBANK,30-Sep-07,Second Quarter,205937,159651,22782,7.14,13.57,356499286,34548548257,167762.71,NA,NA,96.910568,-74.74,Bad
AXISBANK,31-Dec-07,Third Quarter,229024,161796,30683,9.09,13.53,357356810,43955378276,191924.77,27.31,0.5,123.001373,26.92,Good
AXISBANK,31-Mar-08,Fourth Quarter,257190,184906,36140,9.89,10.12,357737532,35813431974,139248.93,8.8,1.15,100.110916,-18.61,Bad
AXISBANK,30-Jun-08,First Quarter,289124,208892,33014,9.03,8.8,358547716,28478654466,98499.79,-8.7,-1.01,79.427795,-20.66,Bad
AXISBANK,30-Sep-08,Second Quarter,323945,236502,40291,11.07,8.54,358877473,33932101594,104746.49,22.59,0.38,94.550659,19.04,Good
AXISBANK,31-Dec-08,Third Quarter,371694,280731,50086,13.78,4.81,358992952,23784852614,63990.41,24.48,0.2,66.254372,-29.93,Bad
AXISBANK,31-Mar-09,Fourth Quarter,388473,274623,58145,16.1,3.38,359009414,19556126669,50341.02,16.84,0.2,54.472462,-17.78,Bad
AXISBANK,30-Jun-09,First Quarter,386413,268777,56204,15.5,7.62,359791834,42469858679,109907.94,-3.73,-2.04,118.040085,116.7,Good
AXISBANK,30-Sep-09,Second Quarter,392594,262019,53164,14.38,9.72,401956600,56163891147,143058.46,-7.23,-1.34,139.726257,18.37,Good
AXISBANK,31-Dec-09,Third Quarter,387174,249711,65598,15.98,8.78,403660063,56633785407,146274.76,11.13,0.79,140.30069,0.41,Bad
AXISBANK,31-Mar-10,Fourth Quarter,392199,253818,76487,18.57,8.92,405138866,67129808966,171162.62,16.21,0.55,165.695801,18.1,Good
AXISBANK,30-Jun-10,First Quarter,432637,287632,74188,17.95,10.33,407438408,75557872242,174644.96,-3.34,-3.09,185.446121,11.92,Good
AXISBANK,30-Sep-10,Second Quarter,465749,317114,73514,17.72,12.94,408819028,93766626434,201324.38,-1.28,-10.1,229.359741,23.68,Good
AXISBANK,31-Dec-10,Third Quarter,498602,332754,89136,21.44,9.4,409881352,82600073719,165663.34,20.99,0.45,201.521912,-12.14,Bad
AXISBANK,31-Mar-11,Fourth Quarter,581706,399625,102011,24.54,8.54,410552716,86029211895,147891.22,14.46,0.59,209.544861,3.98,Bad
AXISBANK,30-Jun-11,First Quarter,604927,449079,94235,22.67,8.49,411898023,79283751137,131063.34,-7.62,-1.11,192.483932,-8.14,Bad
AXISBANK,30-Sep-11,Second Quarter,651089,473525,92032,22.13,7.28,412315833,66444134014,102050.77,-2.38,-3.06,161.148636,-16.28,Bad
AXISBANK,31-Dec-11,Third Quarter,720677,514757,110227,26.53,4.82,412584052,52731803250,73169.82,19.88,0.24,127.808632,-20.69,Bad
AXISBANK,31-Mar-12,Fourth Quarter,764794,561039,127727,30.75,5.9,413211666,74907981456,97945.3,15.91,0.37,181.282349,41.84,Good
AXISBANK,30-Jun-12,First Quarter,781837,585471,115352,27.73,5.79,430123032,69099446198,88380.89,-9.82,-0.59,160.650421,-11.38,Bad
AXISBANK,30-Sep-12,Second Quarter,828029,610203,112354,27,7.21,414548437,80658420307,97410.14,-2.63,-2.74,194.569351,21.11,Good
AXISBANK,31-Dec-12,Third Quarter,858030,621879,134722,31.42,7.39,427132410,99241754358,115662.34,16.37,0.45,232.344238,19.41,Good
AXISBANK,31-Mar-13,Fourth Quarter,905472,625502,155515,34.19,6.52,467977657,1.04255E+11,115139.25,8.82,0.74,222.778519,-4.12,Bad
AXISBANK,31-Mar-14,Fourth Quarter,1017863,693092,184232,39.16,6.88,469863662,1.26539E+11,124318.04,14.54,0.47,269.309479,20.89,Good
AXISBANK,31-Mar-15,Fourth Quarter,1238439,837151,218059,9.13,59.64,2370659835,1.29094E+12,1042394.31,-76.69,-0.78,544.549561,102.2,Good
AXISBANK,30-Jun-15,First Quarter,1223441,814234,197844,8.27,65.7,2375226114,1.29054E+12,1054846.31,-9.42,-6.97,543.334473,-0.22,Bad
AXISBANK,30-Sep-15,Second Quarter,1200101,837306,191564,8,60.71,2377929013,1.15491E+12,962340.5,-3.26,-18.6,485.677155,-10.61,Bad
AXISBANK,31-Dec-15,Third Quarter,1253111,854605,217530,9.09,48.41,409881352,1.80374E+11,143940.92,13.63,3.55,440.063812,-9.39,Bad
AXISBANK,31-Mar-16,Fourth Quarter,1359297,919444,215428,9.01,48.3,409881352,1.78386E+11,131233.91,-0.88,-54.88,435.213409,-1.1,Bad
AXISBANK,30-Jun-16,First Quarter,1385218,938281,155553,6.49,80.55,409881352,2.14272E+11,154684.59,-27.97,-2.88,522.765625,20.12,Good
AXISBANK,30-Sep-16,Second Quarter,1369877,959859,31908,1.33,402.57,409881352,2.19458E+11,160202.59,-79.51,-5.06,535.417969,2.42,Bad
AXISBANK,31-Dec-16,Third Quarter,1450121,986098,57957,2.41,184.66,409881352,1.82405E+11,125786.21,81.2,2.27,445.019562,-16.88,Bad
AXISBANK,31-Mar-17,Fourth Quarter,1418131,980657,122510,5.1,95.18,409881352,1.98965E+11,140301.13,111.62,0.85,485.421906,9.08,Bad
AXISBANK,30-Jun-17,First Quarter,1405230,976114,130560,5.43,94.23,409881352,2.09728E+11,149248.5,6.47,14.56,511.680939,5.41,Bad
AXISBANK,31-Dec-17,Third Quarter,1431463,1046083,72644,2.99,188.38,409881352,2.30866E+11,161279.66,-44.94,-4.19,563.250488,10.08,Good
AXISBANK,31-Mar-18,Fourth Quarter,1455985,1088765,-218874,-8.51,-59.91,409881352,2.08985E+11,143535.06,-384.62,0.16,509.866791,-9.48,Bad
AXISBANK,30-Jun-18,First Quarter,1570201,1132997,70109,2.72,187.56,409881352,2.09108E+11,133172.57,-131.96,-1.42,510.166412,0.06,Bad
AXISBANK,30-Sep-18,Second Quarter,1595937,1186537,78961,3.07,199.51,409881352,2.51048E+11,157304.42,12.87,15.5,612.489319,20.06,Good
AXISBANK,31-Dec-18,Third Quarter,1813042,1260577,168085,6.52,94.96,409881352,2.5377E+11,139969.34,112.38,0.84,619.131104,1.08,Bad
AXISBANK,31-Mar-19,Fourth Quarter,1832431,1330989,150506,5.82,133.38,409881352,3.18185E+11,173640.99,-10.74,-12.42,776.28595,25.38,Good
AXISBANK,30-Jun-19,First Quarter,1940909,1356880,126298,4.84,166.85,409881352,3.30998E+11,170537.87,-16.84,-9.91,807.547058,4.03,Bad
AXISBANK,30-Sep-19,Second Quarter,1988636,1374352,-1814,-0.08,-8562.5,409881352,2.80769E+11,141186.59,-101.65,84.23,685,-15.18,Bad
AXISBANK,31-Dec-19,Third Quarter,1997599,1403981,188400,6.63,113.74,409881352,3.09092E+11,154731.51,-8387.5,-0.01,754.099976,10.09,Good
AXISBANK,31-Mar-20,Fourth Quarter,2078623,1470957,-125009,-4.48,-84.6,409881352,1.55345E+11,74734.59,-167.57,0.5,379,-49.74,Bad
BAJAJ-AUTO,30-Sep-12,Second Quarter,497240,409823,74067,25.6,58.78,289383129,4.35437E+11,875708.42,3.23,18.22,1504.708496,19.76,Good
BAJAJ-AUTO,31-Dec-12,Third Quarter,541271,444204,81874,28.3,61.92,289383129,5.07066E+11,936806.81,10.55,5.87,1752.231934,16.45,Good
BAJAJ-AUTO,31-Mar-13,Fourth Quarter,474648,395650,76577,26.5,55.83,289383529,4.28169E+11,902076.99,-6.36,-8.78,1479.59021,-15.56,Bad
BAJAJ-AUTO,30-Jun-13,First Quarter,491109,404877,73768,25.5,62.03,289383529,4.57768E+11,932110.16,-3.77,-16.44,1581.871948,6.91,Bad
BAJAJ-AUTO,30-Sep-13,Second Quarter,517489,408722,83716,28.9,57.92,289383529,4.8441E+11,936076.94,13.33,4.34,1673.936035,5.82,Bad
BAJAJ-AUTO,31-Dec-13,Third Quarter,513124,404201,90455,31.3,51.42,289383529,4.6574E+11,907655.03,8.3,6.19,1609.4198,-3.85,Bad
BAJAJ-AUTO,31-Mar-14,Fourth Quarter,493229,404538,76393,26.4,66.47,289383529,5.07845E+11,1029632.56,-15.65,-4.25,1754.918945,9.04,Bad
BAJAJ-AUTO,30-Jun-14,First Quarter,525241,439648,73998,25.6,76.2,289383529,5.64537E+11,1074815.51,-3.03,-25.15,1950.826904,11.16,Good
BAJAJ-AUTO,30-Sep-14,Second Quarter,596309,490493,59090,20.4,99.2,289383529,5.85627E+11,982085.8,-20.31,-4.88,2023.703979,3.74,Bad
BAJAJ-AUTO,31-Dec-14,Third Quarter,565717,449611,86124,29.8,70.24,289383529,6.05761E+11,1070784.34,46.08,1.52,2093.280518,3.44,Bad
BAJAJ-AUTO,31-Mar-15,Fourth Quarter,473934,396534,62162,21.5,80.72,289352518,5.02147E+11,1059528.63,-27.85,-2.9,1735.414795,-17.1,Bad
BAJAJ-AUTO,30-Jun-15,First Quarter,588124,481967,86796,31.6,69.23,289383529,6.3303E+11,1076354.65,46.98,1.47,2187.512207,26.05,Good
BAJAJ-AUTO,30-Sep-15,Second Quarter,640754,516905,105219,38.7,52.43,289383529,5.87208E+11,916432.22,22.47,2.33,2029.167358,-7.24,Bad
BAJAJ-AUTO,31-Dec-15,Third Quarter,588425,478744,103117,35.6,62.42,289383529,6.43056E+11,1092842.61,-8.01,-7.79,2222.157959,9.51,Bad
BAJAJ-AUTO,31-Mar-16,Fourth Quarter,571017,463312,99617,34.4,61.38,289383529,6.11043E+11,1070095.62,-3.37,-18.21,2111.532715,-4.98,Bad
BAJAJ-AUTO,30-Jun-16,First Quarter,608875,499024,103970,35.9,67.24,289383529,6.98499E+11,1147196.17,4.36,15.42,2413.748535,14.31,Good
BAJAJ-AUTO,30-Sep-16,Second Quarter,643232,521481,120072,41.5,61.25,289383529,7.35627E+11,1143641.78,15.6,3.93,2542.048584,5.32,Bad
BAJAJ-AUTO,31-Dec-16,Third Quarter,535413,438729,97682,33.8,70.01,289383529,6.84792E+11,1278997.31,-18.55,-3.77,2366.381348,-6.91,Bad
BAJAJ-AUTO,31-Mar-17,Fourth Quarter,521283,438383,86225,NA,NA,289383529,7.29864E+11,1400130.97,-100,NA,2522.135498,6.58,Bad
BAJAJ-AUTO,30-Jun-17,First Quarter,585419,499176,78970,28.9,86.83,289383529,7.26157E+11,1240405.76,NA,NA,2509.324219,-0.51,Bad
BAJAJ-AUTO,30-Sep-17,Second Quarter,656643,534640,111168,41.2,69.22,289383529,8.2532E+11,1256877.34,42.56,1.63,2851.992676,13.66,Good
BAJAJ-AUTO,31-Dec-17,Third Quarter,636934,521371,95061,35,87.36,289383529,8.84829E+11,1389199.67,-15.05,-5.81,3057.632568,7.21,Bad
BAJAJ-AUTO,31-Mar-18,Fourth Quarter,713904,554586,107934,40.6,62.01,289383529,7.28518E+11,1020471.06,16,3.88,2517.483887,-17.67,Bad
BAJAJ-AUTO,30-Jun-18,First Quarter,772934,620910,101992,36,71.6,289383529,7.4593E+11,965063.53,-11.33,-6.32,2577.65332,2.39,Bad
BAJAJ-AUTO,30-Sep-18,Second Quarter,836831,671642,115172,43.4,57.96,289383529,7.27985E+11,869930.43,20.56,2.82,2515.639893,-2.41,Bad
BAJAJ-AUTO,31-Dec-18,Third Quarter,787934,632096,110116,42.2,60.34,289383529,7.36843E+11,935157.77,-2.76,-21.82,2546.249268,1.22,Bad
BAJAJ-AUTO,31-Mar-19,Fourth Quarter,782798,629466,130505,48.7,55.95,289383529,7.88568E+11,1007370.72,15.4,3.63,2724.991943,7.02,Bad
BAJAJ-AUTO,30-Jun-19,First Quarter,809327,661938,102078,35,75.61,289383529,7.658E+11,946218.31,-28.13,-2.69,2646.315186,-2.89,Bad
BAJAJ-AUTO,30-Sep-19,Second Quarter,810076,649107,140320,52.6,53.52,289383529,8.14722E+11,1005735.21,50.29,1.06,2815.37085,6.39,Bad
BAJAJ-AUTO,31-Dec-19,Third Quarter,800588,633470,126150,45.7,66.7,289383529,8.82075E+11,1101784.36,-13.12,-5.08,3048.118652,8.27,Bad
BAJAJ-AUTO,31-Mar-20,Fourth Quarter,724331,562745,120492,46.8,41.36,289383529,5.60083E+11,773242.12,2.41,17.18,1935.435791,-36.5,Bad
BAJFINANCE,30-Sep-07,Second Quarter,12340,7605,378,1.04,13.32,36593150,506757780,41066.27,-7.14,-1.86,13.848433,4.96,Bad
BAJFINANCE,31-Dec-07,Third Quarter,13239,7953,812,2.22,7.52,36593150,610694400,46128.44,113.46,0.07,16.688763,20.51,Good
BAJFINANCE,31-Mar-08,Fourth Quarter,14175,8536,457,1.26,10.07,36593150,464348625,32758.28,-43.24,-0.23,12.689496,-23.96,Bad
BAJFINANCE,30-Jun-08,First Quarter,12823,8028,301,0.82,6.46,36593150,193692298,15105.07,-34.92,-0.18,5.29313,-58.29,Bad
BAJFINANCE,30-Sep-08,Second Quarter,13682,8731,457,1.25,3.55,36593150,162221640,11856.57,52.44,0.07,4.433115,-16.25,Bad
BAJFINANCE,31-Dec-08,Third Quarter,15746,9995,1128,3.08,0.84,36593150,95192907,6045.53,146.4,0.01,2.601386,-41.32,Bad
BAJFINANCE,31-Mar-09,Fourth Quarter,17541,11646,1506,4.12,0.69,36593673,103814529,5918.39,33.77,0.02,2.836953,9.06,Bad
BAJFINANCE,30-Jun-09,First Quarter,18956,12489,1521,4.16,1.5,36593673,227619523,12007.78,0.97,1.54,6.220188,119.26,Good
BAJFINANCE,30-Sep-09,Second Quarter,21948,14122,2169,5.93,1.88,36593673,408999941,18634.95,42.55,0.04,11.176794,79.69,Good
BAJFINANCE,31-Dec-09,Third Quarter,24931,15120,2732,7.46,2.07,36593673,564170396,22629.27,25.8,0.08,15.417157,37.94,Good
BAJFINANCE,31-Mar-10,Fourth Quarter,25276,16289,2519,6.88,2.18,36598822,547833050,21674.04,-7.77,-0.28,14.968598,-2.91,Bad
BAJFINANCE,30-Jun-10,First Quarter,29564,15338,4678,12.78,1.74,36598822,811959793,27464.48,85.76,0.02,22.185408,48.21,Good
BAJFINANCE,30-Sep-10,Second Quarter,32032,16484,5277,14.42,2.86,36597974,1507168090,47051.95,12.83,0.22,41.181736,85.63,Good
BAJFINANCE,31-Dec-10,Third Quarter,38712,16980,7639,20.87,1.79,41360139,1549259276,40020.13,44.73,0.04,37.457787,-9.04,Bad
BAJFINANCE,31-Mar-11,Fourth Quarter,38925,17024,7102,19.4,1.92,36628516,1364709418,35059.97,-7.04,-0.27,37.258114,-0.53,Bad
BAJFINANCE,30-Jun-11,First Quarter,44967,17474,9081,24.79,1.31,36628516,1189306444,26448.43,27.78,0.05,32.469414,-12.85,Bad
BAJFINANCE,30-Sep-11,Second Quarter,49168,19710,8737,21.39,1.9,36628516,1491136770,30327.38,-13.72,-0.14,40.709724,25.38,Good
BAJFINANCE,31-Dec-11,Third Quarter,60277,21888,11999,32.62,1.19,36628516,1424061826,23625.29,52.5,0.02,38.878502,-4.5,Bad
BAJFINANCE,31-Mar-12,Fourth Quarter,61890,22806,10827,29.26,1.79,41322309,2158365215,34874.22,-10.3,-0.17,52.232445,34.35,Good
BAJFINANCE,30-Jun-12,First Quarter,70127,23306,13869,33.2,1.76,41322309,2418371008,34485.59,13.47,0.13,58.524586,12.05,Good
BAJFINANCE,30-Sep-12,Second Quarter,73552,25163,12872,30.61,2.86,41397969,3619188236,49205.84,-7.8,-0.37,87.424294,49.38,Good
BAJFINANCE,31-Dec-12,Third Quarter,82468,27077,16009,38.15,2.63,42808803,4289760413,52017.27,24.63,0.11,100.207436,14.62,Good
BAJFINANCE,31-Mar-13,Fourth Quarter,83225,27863,16381,35.11,2.49,49784543,4359516545,52382.3,-7.97,-0.31,87.567673,-12.61,Bad
BAJFINANCE,30-Jun-13,First Quarter,92832,33413,17574,35.07,3.01,49784543,5258114744,56641.19,-0.11,-26.43,105.617416,20.61,Good
BAJFINANCE,30-Sep-13,Second Quarter,96165,32920,16704,33.35,2.98,49784543,4949222119,51465.94,-4.9,-0.61,99.412827,-5.87,Bad
BAJFINANCE,31-Dec-13,Third Quarter,107032,37738,19414,38.76,3.48,49784543,6714678033,62735.24,16.22,0.21,134.874756,35.67,Good
BAJFINANCE,31-Mar-14,Fourth Quarter,107113,36822,18209,36.32,4.21,50136173,7659086183,71504.73,-6.3,-0.67,152.765671,13.26,Good
BAJFINANCE,30-Jun-14,First Quarter,124361,42572,21136,42.1,4.07,50136173,8580870817,68999.69,15.91,0.26,171.151291,12.04,Good
BAJFINANCE,30-Sep-14,Second Quarter,123221,39864,19715,39.16,6.42,50136173,12597288098,102233.29,-6.98,-0.92,251.261459,46.81,Good
BAJFINANCE,31-Dec-14,Third Quarter,147655,49994,25838,51.2,6.28,50149002,16131829723,109253.53,30.75,0.2,321.677979,28.03,Good
BAJFINANCE,31-Mar-15,Fourth Quarter,142943,48869,23098,44.03,8.62,50151998,19024606681,133092.26,-14,-0.62,379.338959,17.93,Good
BAJFINANCE,30-Jun-15,First Quarter,164621,55635,27563,53.6,9.38,53629406,26953967778,163733.47,21.74,0.43,502.596802,32.49,Good
BAJFINANCE,30-Sep-15,Second Quarter,167993,57794,27939,51.68,9.49,53629406,26314678341,156641.52,-3.58,-2.65,490.6763,-2.37,Bad
BAJFINANCE,31-Dec-15,Third Quarter,206136,69513,40846,75.31,7.63,53629406,30820931358,149517.46,45.72,0.17,574.702087,17.12,Good
